标志,ID,人物,立绘,位置,内容,跳转,背景效果,效果,音效,背景音,背景,变量,章节,事件
#,228,舒悦杉,舒悦杉（平静）,左,金女士，你比预想中来得早很多。,229,,,,,jgn,,,
#,229,金女士,金女士（微笑）,右,或许是因为我等这一刻已经很久了。莉莉白以前总说，她调酒靠的是“直觉”，而你靠的是“灵魂”。,230,,,,,jgn,,,
#,230,金女士,金女士（微笑）,右,我一直很好奇，能让那个眼高于顶的天才这样夸的人，到底是一个怎样的人？是比常人多一根手指，还是指尖流淌着神迹？,231,,,,,jgn,,,
#,231,舒悦杉,舒悦杉（正常）,左,只是普通人的手，用来做该做的事。,232,,,,,jgn,,,
#,232,金女士,金女士（微笑）,右,噢，真是谦虚。这种“内敛”最是虚伪。让我看看，你接手这间酒馆，是真的想找她，还是……像我一样，只是为了证明自己才是那个更适合留下的人？,233,,,,,jgn,,,
#,233,哈伦,哈伦（生气）,右,为什么这个女人会在这里？舒小姐，这就是你所谓的“今晚见”？,234,,,,,jgn,,,
#,234,金女士,金女士（轻蔑）,右,哟，怎么，哈伦队长，今晚的驱雾巡逻已经结束了？还是说，你是来这里抓捕什么“危险分子”的？,235,,,,,jgn,,,
#,235,哈伦,哈伦（生气）,右,闭嘴！你这个靠着商会的臭钱开店的投机客，你没资格坐在这里！舒小姐，离这个女人远点，她会把你也卖给奎姆！,236,,,,,金女士哈伦博弈,,,
#,236,金女士,金女士（轻蔑）,右,卖？哈伦，当年莉莉白被千夫所指的时候，你又在干什么？,237,,,,,金女士哈伦博弈,,,
#,237,哈伦,哈伦（生气）,右,我和你一样吗！莉莉白当时已经失控了，只有我能拉住她！,238,,,,,金女士哈伦博弈,,,
#,238,金女士,金女士（轻蔑）,右,然后你就把她拉进了火堆里？真是伟大的友情。,239,,,,,金女士哈伦博弈,,,
#,239,哈伦,哈伦（生气）,右,舒小姐，你果然和莉莉白一样，总是喜欢和这种毒蛇混在一起。我看你也不是来找真相的，你是来这里继承她的“眼瞎”吧？,240,,,,Dystopian,金女士哈伦博弈,,,
#,240,金女士,金女士（轻蔑）,右,哎呀，哈伦队长急了。舒小姐，这就是你眼中的“正义卫兵”。一个只会对着调酒师咆哮的懦夫。你费尽心思请这种人喝酒，我看你的“天才”头衔也快到期了。,241,,,,,金女士哈伦博弈,,,
#,241,舒悦杉,舒悦杉（凝重）,左,.......,242,,,,,jgn,,,
#,242,雪克,雪克（惊恐）,右,各位，消消气，咱有事儿好好聊。,243,,,,,jgn,,,
#,243,舒悦杉,舒悦杉（正常）,左,两位，如果你们是来酒馆吵架的，请出去，酒馆不接待这样的客人。但如果你们想聊聊莉莉白和那个黑影——。,244,,,,,jgn,,,
#,244,舒悦杉,舒悦杉（正常）,左,坐下吧，我们好好谈谈。,245,,,,,jgn,,,
#,245,哈伦,哈伦(正常),右,....呵...,246,,,,,jgn,,,
#,246,金女士,金女士（正常）,右,.....,247,,,,,jgn,,,
#,247,金女士,金女士（微笑）,右,好说好说，我还想尝尝舒小姐的手艺呢~。,248,,,,,jgn,,,
EVENT,248,,,,,249,,,,,,,,LoadScene:gamehl|new 7
